key,plate_text
hf_vn_plates_segment_000645#156_107_76_21,51F73029
hf_vn_plates_segment_000768#464_236_66_53,77C172309
hf_vn_plates_segment_000768#31_225_54_41,62P239786
hf_vn_plates_segment_000792#48_249_39_26,51D71635
hf_vn_plates_segment_000792#542_252_18_11,KHONG_DOC_DUOC
hf_vn_plates_segment_000884#0_163_14_15,KHONG_DOC_DUOC
hf_vn_plates_segment_001028#183_307_132_74,59X460017
hf_vn_plates_segment_001060#124_364_141_95,66M119850
hf_vn_plates_segment_001088#87_193_127_99,60C239219
hf_vn_plates_segment_001312#96_153_65_57,59U179751
hf_vn_plates_segment_001385#228_139_77_70,59L159150
hf_vn_plates_segment_001828#151_164_78_65,71B207999
hf_vn_plates_segment_002104#156_132_85_74,59M143700
hf_vn_plates_segment_002169#249_118_87_79,92L87156
hf_vn_plates_segment_002290#148_215_90_70,59B133872
hf_vn_plates_segment_002335#200_166_76_66,59V221604
hf_vn_plates_segment_002473#12_381_73_51,59X172873
hf_vn_plates_segment_002497#166_241_50_29,51D15577
hf_vn_plates_segment_002527#356_233_32_21,KHONG_DOC_DUOC
hf_vn_plates_segment_002527#95_353_80_51,59Z212456
hf_vn_plates_segment_002531#114_368_80_50,67K185431
hf_vn_plates_segment_002563#317_329_131_97,64H28677
hf_vn_plates_segment_002586#37_223_51_31,50E01260
hf_vn_plates_segment_002623#161_423_66_49,59V301472
hf_vn_plates_segment_002623#360_329_38_28,59X408681
hf_vn_plates_segment_002663#395_120_44_31,51H61507
hf_vn_plates_segment_002685#263_229_51_17,51H23293
hf_vn_plates_segment_002685#406_165_23_16,KHONG_DOC_DUOC
hf_vn_plates_segment_002694#151_278_95_53,51H09488
hf_vn_plates_segment_002716#132_375_83_52,72L90279
hf_vn_plates_segment_002725#38_427_39_29,84D113157
hf_vn_plates_segment_002725#47_48_52_57,KHONG_DOC_DUOC
hf_vn_plates_segment_002728#45_359_54_34,60H151044
hf_vn_plates_segment_002761#89_58_226_51,30G40304
hf_vn_plates_segment_002896#108_52_154_150,30Z8657
hf_vn_plates_segment_002917#141_147_115_131,30F03523
hf_vn_plates_segment_002919#141_128_135_102,30F49056
hf_vn_plates_segment_003038#134_222_140_38,30F77294
hf_vn_plates_segment_003161#68_67_201_178,30E34422
hf_vn_plates_segment_003225#43_123_316_112,30F70179
hf_vn_plates_segment_003690#113_287_107_63,50E11297
hf_vn_plates_segment_003697#109_156_91_68,54X10369
hf_vn_plates_segment_003733#140_380_85_61,52X35035
hf_vn_plates_segment_003762#459_287_67_43,76B117204
hf_vn_plates_segment_003764#38_383_83_59,59X411142
hf_vn_plates_segment_003766#509_186_40_21,51H92296
hf_vn_plates_segment_003791#154_399_103_77,59X460017
hf_vn_plates_segment_003900#118_43_80_71,55P44641
hf_vn_plates_segment_004013#201_177_74_67,59C242504
hf_vn_plates_segment_004065#209_145_73_64,59P232334
hf_vn_plates_segment_004141#105_139_83_73,61X23244
hf_vn_plates_segment_004236#256_354_67_40,59X164689
hf_vn_plates_segment_004241#138_458_67_39,51D04162
hf_vn_plates_segment_004280#157_279_113_134,81K45959
hf_vn_plates_segment_004281#1_304_76_85,53X74327
hf_vn_plates_segment_004381#124_40_124_83,29A42945
hf_vn_plates_segment_004419#157_129_62_64,89C19599
hf_vn_plates_segment_004562#132_68_120_97,30E77408
hf_vn_plates_segment_004571#154_216_103_83,30E91177
roboflow_cuong_ta_005780#522_339_116_46,41291NG01
roboflow_cuong_ta_007307#933_488_27_39,KHONG_DOC_DUOC
roboflow_demo_tracking_000112#284_320_75_26,43A21942
roboflow_demo_tracking_000129#213_417_69_67,60A37756
roboflow_demo_tracking_000215#321_329_95_50,43A22159
roboflow_eric_nguyen_000305#186_282_133_112,KHONG_DOC_DUOC
roboflow_eric_nguyen_000371#1_215_45_38,KHONG_DOC_DUOC
roboflow_eric_nguyen_000822#501_108_20_14,KHONG_DOC_DUOC
roboflow_eric_nguyen_000837#362_337_84_66,KHONG_DOC_DUOC
roboflow_eric_nguyen_000839#329_384_116_73,KHONG_DOC_DUOC
roboflow_school_fuhih_000128#294_360_77_31,51F32488
roboflow_school_fuhih_000212#155_532_144_67,51G51936
roboflow_school_fuhih_000231#257_268_180_220,72S14860
roboflow_school_fuhih_000350#373_367_143_151,51G29034
roboflow_school_fuhih_000354#317_485_110_102,51G22237
roboflow_school_fuhih_000684#294_333_59_63,59P189267
roboflow_school_fuhih_001416#217_345_125_63,51A69172
roboflow_school_fuhih_001540#166_493_142_70,51G51936
roboflow_school_fuhih_001711#154_533_146_65,51G51936
roboflow_school_fuhih_002341#167_494_140_69,51G51936
roboflow_school_fuhih_002530#423_183_121_74,51A64826
roboflow_school_fuhih_002585#421_507_143_73,51F16159
roboflow_school_fuhih_002798#244_94_132_68,51A02923
roboflow_school_fuhih_002825#432_382_109_55,51G51008
roboflow_school_fuhih_002826#253_435_208_92,51F22029
roboflow_school_fuhih_002894#328_394_155_97,52Z9755
roboflow_school_fuhih_002924#289_371_201_105,51F24476
roboflow_school_fuhih_002929#291_280_129_68,51F31118
roboflow_school_fuhih_003143#421_513_142_69,51F16159
roboflow_school_fuhih_003240#127_444_177_81,51F07973
roboflow_school_fuhih_003244#367_291_149_89,51F63034
roboflow_school_fuhih_003245#147_411_161_81,51A69172
roboflow_school_fuhih_003294#160_336_169_134,51A96141
roboflow_school_fuhih_003375#169_287_162_162,51G47281
roboflow_school_fuhih_003429#312_475_144_140,51G49539
roboflow_school_fuhih_003450#206_119_142_110,51A05227
roboflow_school_fuhih_003451#329_443_124_78,51G25181
roboflow_school_fuhih_003516#158_213_148_107,60A21418
roboflow_school_fuhih_003654#312_393_147_101,51G10209
roboflow_school_fuhih_003692#327_230_149_143,51A72444
roboflow_school_fuhih_003712#290_484_169_142,51F06532
roboflow_school_fuhih_003720#176_438_153_116,93LD00103
roboflow_school_fuhih_003735#259_210_157_184,51F07973
roboflow_school_fuhih_003741#273_248_159_149,51A60216
roboflow_school_fuhih_003748#99_375_133_85,51A69172
roboflow_school_fuhih_003809#291_431_138_80,51G10209
roboflow_school_fuhih_004144#402_230_69_28,51A72444
roboflow_school_fuhih_004178#274_319_68_37,51F22029
roboflow_school_fuhih_004438#337_442_68_29,51F07973
roboflow_school_fuhih_004641#477_540_26_27,KHONG_DOC_DUOC
roboflow_school_fuhih_004641#409_406_17_16,KHONG_DOC_DUOC
roboflow_school_fuhih_004641#590_536_20_22,KHONG_DOC_DUOC
roboflow_school_fuhih_004786#274_72_113_151,52U48980
roboflow_school_fuhih_005349#243_421_92_112,59H154986
roboflow_school_fuhih_005441#280_327_63_81,54T30255
roboflow_school_fuhih_005465#258_277_72_74,59T192270
roboflow_school_fuhih_005472#316_242_66_69,59C224729
roboflow_school_fuhih_005473#254_262_87_107,59F116711
roboflow_school_fuhih_005477#272_357_74_81,59C139760
roboflow_school_fuhih_005479#294_261_66_86,59C244011
roboflow_school_fuhih_005550#320_240_62_81,54S14959
roboflow_school_fuhih_005552#318_270_68_84,62M136169
roboflow_school_fuhih_005600#234_272_71_81,51H48354
roboflow_school_fuhih_005685#238_279_72_61,52S37078
roboflow_school_fuhih_005703#283_100_50_60,81B126810
roboflow_school_fuhih_005734#176_288_68_82,56P25963
roboflow_school_fuhih_005746#267_255_52_53,67E105420
roboflow_school_fuhih_005786#176_321_54_63,59N161776
roboflow_school_fuhih_005797#364_183_67_61,59D101978
roboflow_school_fuhih_005837#319_198_73_118,63B216353
roboflow_school_fuhih_006308#221_416_114_142,77H119025
roboflow_school_fuhih_006336#326_369_116_154,59C242504
roboflow_school_fuhih_006554#203_224_140_145,84V10819
roboflow_school_fuhih_006685#294_321_33_19,KHONG_DOC_DUOC
roboflow_school_fuhih_007163#322_321_139_75,51F59881
roboflow_school_fuhih_007317#263_131_148_90,51F15585
roboflow_school_fuhih_007377#259_577_162_63,51F21255
roboflow_school_fuhih_007494#279_501_119_119,51F88270
roboflow_school_fuhih_007569#180_154_149_142,51A72110
roboflow_school_fuhih_007581#279_278_156_117,51A69172
roboflow_school_fuhih_007586#205_212_149_92,51F15585
roboflow_school_fuhih_007614#321_318_135_135,51F04877
roboflow_school_fuhih_007683#281_299_66_33,51A01204
roboflow_school_fuhih_007745#314_424_71_36,51F59011
roboflow_school_fuhih_007981#229_203_77_94,59S235205
roboflow_school_fuhih_008048#301_234_61_69,38Z10084
roboflow_school_fuhih_008066#333_307_56_71,59L231395
roboflow_school_fuhih_008093#242_293_51_63,59L144716
roboflow_school_fuhih_008100#239_296_72_62,59M160077
roboflow_school_fuhih_008129#182_284_68_79,59C163631
roboflow_school_fuhih_008135#327_285_51_56,53Z11759
roboflow_traffic_camera_000151#113_153_111_114,29D09566
roboflow_traffic_camera_000372#128_76_102_94,30F5204
roboflow_traffic_camera_000397#162_189_88_71,30F5204
roboflow_traffic_camera_000420#128_31_107_104,29U5411
roboflow_traffic_camera_000421#118_13_105_106,29U5411
roboflow_traffic_camera_000422#123_12_106_105,29U5411
roboflow_traffic_camera_000426#57_178_247_115,29A56048
roboflow_traffic_camera_000498#70_222_135_91,30A79330
roboflow_traffic_camera_000592#92_67_145_138,99A08929
roboflow_traffic_camera_000728#123_160_82_47,89A15530
roboflow_traffic_camera_000904#142_280_154_61,30G56695
