group_id,image,dataset,group_size,datasets_in_group,is_cross_dataset,action
1,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0002.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
1,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0711.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
2,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0013.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
2,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0019.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
3,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0035.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
3,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0221.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
4,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0039.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
4,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0125.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
5,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0045.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
5,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0084.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
6,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0047.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
6,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0176.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
7,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0052.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,keep
7,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0135.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
7,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0122.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
8,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0107.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
8,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0044.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
9,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0178.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
9,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0211.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
10,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0189.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
10,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0187.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
11,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0228.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
11,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0315.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
12,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0233.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
12,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0346.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
13,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0234.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
13,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0272.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
14,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0235.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
14,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0263.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
15,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0236.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
15,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0326.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
16,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0238.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
16,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0360.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
17,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0239.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
17,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0282.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
18,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0240.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
18,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0269.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
19,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0241.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
19,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0264.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
20,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0247.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
20,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0378.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
21,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0258.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
21,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0262.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
22,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0271.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
22,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0274.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
23,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0325.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
23,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0327.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
24,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0381.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
24,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0383.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
25,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0394.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
25,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0503.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
26,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0395.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
26,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0603.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
27,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0489.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
27,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0490.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
28,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0492.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
28,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0493.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
29,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0495.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
29,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0496.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
30,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0684.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
30,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0685.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
31,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0689.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
31,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0786.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
32,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0691.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
32,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0757.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
33,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0697.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
33,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0852.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
34,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0728.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
34,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0730.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
35,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0746.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
35,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0917.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
36,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0785.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
36,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0796.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
37,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0792.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
37,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0793.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
38,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0815.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
38,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0817.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
39,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0821.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
39,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0822.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
40,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0827.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
40,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0828.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
41,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0858.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
