image_a,dataset_a,image_b,dataset_b,hamming_distance,is_exact_match,is_cross_dataset
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0002.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0711.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0013.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0019.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0035.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0221.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0039.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0125.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0045.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0084.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0047.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0176.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0052.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0135.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0052.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0122.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0107.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0044.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0135.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0122.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0178.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0211.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0189.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0187.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0228.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0315.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0233.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0346.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0234.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0272.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0235.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0263.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0236.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0326.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0238.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0360.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0239.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0282.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0240.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0269.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0241.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0264.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0247.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0378.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0258.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0262.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0271.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0274.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0325.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0327.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0381.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0383.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0394.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0503.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0395.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0603.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0489.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0490.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0492.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0493.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0495.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0496.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0684.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0685.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0689.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0786.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0691.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0757.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0697.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0852.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0728.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0730.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0746.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0917.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0785.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0796.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0792.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0793.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0815.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0817.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0821.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0822.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0827.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0828.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Tgmt_0858.png,hf_vn_plates_segment,D:\DATN\datasets\raw\hf_vn_plates_segment\images\val\Tgmt_0857.png,hf_vn_plates_segment,0,True,False
