image_a,dataset_a,image_b,dataset_b,hamming_distance,is_exact_match,is_cross_dataset
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000034.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003596.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000049.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000172.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000049.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003612.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000052.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000343.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000052.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000497.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000053.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000176.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000061.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003548.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000075.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000180.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000079.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003622.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000081.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000093.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000085.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000550.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000086.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000519.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000086.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000551.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000088.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000362.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000088.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000668.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000094.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000652.png,hf_vn_plates_segment,2,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000096.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000098.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000096.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000158.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000097.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000099.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000099.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000506.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000117.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000413.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000121.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000415.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000123.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003510.png,hf_vn_plates_segment,0,True,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000124.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000244.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000124.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000573.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000127.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000246.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000139.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000262.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000141.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003517.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000143.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000447.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000145.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000639.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000148.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000459.png,hf_vn_plates_segment,4,False,False
D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000169.png,hf_vn_plates_segment,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000344.png,hf_vn_plates_segment,4,False,False
