group_id,image,dataset,group_size,datasets_in_group,is_cross_dataset,action
1,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000061.png,test,2,test,False,keep
1,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003548.png,test,2,test,False,remove
2,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000088.png,test,3,test,False,keep
2,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000362.png,test,3,test,False,remove
2,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000668.png,test,3,test,False,remove
3,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000127.png,test,2,test,False,keep
3,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000246.png,test,2,test,False,remove
4,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000218.png,test,2,test,False,keep
4,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000670.png,test,2,test,False,remove
5,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000247.png,test,4,test,False,keep
5,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000259.png,test,4,test,False,remove
5,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003467.png,test,4,test,False,remove
5,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003555.png,test,4,test,False,remove
6,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000345.png,test,2,test,False,keep
6,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000454.png,test,2,test,False,remove
7,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000566.png,test,2,test,False,keep
7,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003539.png,test,2,test,False,remove
8,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001281.png,test,4,test,False,keep
8,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001344.png,test,4,test,False,remove
8,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001712.png,test,4,test,False,remove
8,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003841.png,test,4,test,False,remove
9,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001428.png,test,2,test,False,keep
9,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001436.png,test,2,test,False,remove
10,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001691.png,test,2,test,False,keep
10,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002391.png,test,2,test,False,remove
11,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002878.png,test,2,test,False,keep
11,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_004402.png,test,2,test,False,remove
12,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002927.png,test,2,test,False,keep
12,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002944.png,test,2,test,False,remove
13,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003112.png,test,2,test,False,keep
13,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003113.png,test,2,test,False,remove
14,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003396.png,test,2,test,False,keep
14,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003397.png,test,2,test,False,remove
15,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000034.png,train,2,train,False,keep
15,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003596.png,train,2,train,False,remove
16,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000049.png,train,3,train,False,keep
16,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000172.png,train,3,train,False,remove
16,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003612.png,train,3,train,False,remove
17,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000052.png,train,5,train,False,keep
17,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000175.png,train,5,train,False,remove
17,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000343.png,train,5,train,False,remove
17,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000497.png,train,5,train,False,remove
17,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003546.png,train,5,train,False,remove
18,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000053.png,train,2,train,False,keep
18,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000176.png,train,2,train,False,remove
19,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000079.png,train,2,train,False,keep
19,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003622.png,train,2,train,False,remove
20,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000081.png,train,2,train,False,keep
20,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000093.png,train,2,train,False,remove
21,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000085.png,train,2,train,False,keep
21,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000550.png,train,2,train,False,remove
22,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000086.png,train,3,train,False,keep
22,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000519.png,train,3,train,False,remove
22,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000551.png,train,3,train,False,remove
23,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000094.png,train,2,train,False,keep
23,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000652.png,train,2,train,False,remove
24,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000096.png,train,3,train,False,keep
24,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000098.png,train,3,train,False,remove
24,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000158.png,train,3,train,False,remove
25,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000117.png,train,2,train,False,keep
25,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000413.png,train,2,train,False,remove
26,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000121.png,train,2,train,False,keep
26,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000415.png,train,2,train,False,remove
27,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000123.png,train,2,train,False,keep
27,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003510.png,train,2,train,False,remove
28,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000139.png,train,2,train,False,keep
28,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000262.png,train,2,train,False,remove
29,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000141.png,train,2,train,False,keep
29,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003517.png,train,2,train,False,remove
30,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000143.png,train,2,train,False,keep
30,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000447.png,train,2,train,False,remove
31,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000145.png,train,2,train,False,keep
31,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000639.png,train,2,train,False,remove
32,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000148.png,train,2,train,False,keep
32,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000459.png,train,2,train,False,remove
33,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000169.png,train,2,train,False,keep
33,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000344.png,train,2,train,False,remove
34,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000193.png,train,2,train,False,keep
34,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000206.png,train,2,train,False,remove
35,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000199.png,train,3,train,False,keep
35,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000358.png,train,3,train,False,remove
35,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000666.png,train,3,train,False,remove
36,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000224.png,train,2,train,False,keep
36,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000390.png,train,2,train,False,remove
37,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000232.png,train,3,train,False,keep
37,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000363.png,train,3,train,False,remove
