image_a,dataset_a,image_b,dataset_b,hamming_distance,is_exact_match,is_cross_dataset
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000061.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003548.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000088.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000362.png,test,2,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000088.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000668.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000127.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000246.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000218.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000670.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000247.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003467.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000247.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003555.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000259.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003467.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000345.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000454.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_000566.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003539.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001281.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001344.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001344.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001712.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001344.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003841.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001428.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001436.png,test,2,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001691.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002391.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_001712.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003841.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002878.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_004402.png,test,0,True,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002927.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_002944.png,test,0,True,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003112.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003113.png,test,0,True,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003396.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003397.png,test,0,True,False
D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003467.png,test,D:\DATN\datasets\processed\yolo\images\test\hf_vn_plates_segment_003555.png,test,4,False,False
D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000034.png,train,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003596.png,train,4,False,False
D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000049.png,train,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000172.png,train,4,False,False
D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000049.png,train,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_003612.png,train,4,False,False
D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000052.png,train,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000343.png,train,2,False,False
D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000052.png,train,D:\DATN\datasets\processed\yolo\images\train\hf_vn_plates_segment_000497.png,train,4,False,False
