image_a,dataset_a,image_b,dataset_b,hamming_distance,is_exact_match,is_cross_dataset
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000003.png,test,D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000216.png,test,10,False,False
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000009.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_003496.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000039.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000615.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000039.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_003599.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000046.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000193.png,train,8,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000046.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_003615.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000048.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000500.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000048.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_003635.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000048.png,test,D:\DATN\datasets\processed\yolo_v2\images\val\hf_vn_plates_segment_000195.png,val,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000069.png,test,D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000178.png,test,8,False,False
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000087.png,test,D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000496.png,test,10,False,False
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000087.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000086.png,train,8,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000087.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000455.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000087.png,test,D:\DATN\datasets\processed\yolo_v2\images\val\hf_vn_plates_segment_000198.png,val,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000094.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000338.png,train,6,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000094.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000503.png,train,10,False,True
D:\DATN\datasets\processed\yolo_v2\images\test\hf_vn_plates_segment_000094.png,test,D:\DATN\datasets\processed\yolo_v2\images\train\hf_vn_plates_segment_000651.png,train,6,False,True
