image,severity,code,box_index,detail
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0004.png,warning,small_box,0,box area 0.4830% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0004.png,warning,small_box,1,box area 0.0842% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0007.png,warning,small_box,1,box area 0.1332% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0009.png,warning,small_box,0,box area 0.0985% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0009.png,warning,small_box,1,box area 0.1313% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0009.png,warning,small_box,2,box area 0.1284% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0023.png,warning,small_box,0,box area 0.4316% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0024.png,warning,small_box,0,box area 0.2642% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0024.png,warning,small_box,1,box area 0.3110% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0025.png,warning,small_box,0,box area 0.4895% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0027.png,warning,small_box,0,box area 0.3214% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0031.png,warning,small_box,0,box area 0.4196% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0031.png,warning,small_box,1,box area 0.2743% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0033.png,warning,small_box,0,box area 0.2946% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0033.png,warning,small_box,1,box area 0.2691% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0033.png,warning,small_box,2,box area 0.1884% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0034.png,warning,small_box,2,box area 0.0450% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0049.png,warning,small_box,1,box area 0.2838% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0054.png,warning,small_box,0,box area 0.3039% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0054.png,warning,small_box,1,box area 0.4587% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0057.png,warning,small_box,0,box area 0.2204% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0057.png,warning,small_box,1,box area 0.2959% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0057.png,warning,small_box,2,box area 0.4306% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\hf_vn_plates_segment\images\train\Dieu_0057.png,warning,small_box,3,box area 0.2735% of the image is below the 0.50% threshold; plates this small are hard to learn
