image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao10_jpg.rf.1319a04a04c23616493c40e45cdd3f06.jpg,warning,small_box,0,box area 0.1187% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao10_jpg.rf.1319a04a04c23616493c40e45cdd3f06.jpg,warning,small_box,1,box area 0.0356% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao12_jpg.rf.86b895e7a82304eb2953812fc44a4874.jpg,warning,small_box,1,box area 0.0837% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao14_jpg.rf.60cd297a61ea318d40436f3c8a0b67bd.jpg,warning,small_box,0,box area 0.2929% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao5_jpg.rf.8b8274c5185036b5b49900c8f1e37f56.jpg,warning,small_box,0,box area 0.4312% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao6_jpg.rf.d8f50acf46a644e9a107c27afd43770a.jpg,warning,small_box,0,box area 0.1907% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao7_jpg.rf.d87a91d1c92afabe729d7f55516b1892.jpg,warning,small_box,0,box area 0.1926% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao7_jpg.rf.d87a91d1c92afabe729d7f55516b1892.jpg,warning,small_box,1,box area 0.0957% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao8_jpg.rf.18b053f6ae41165a8d709684e9725690.jpg,warning,small_box,0,box area 0.3324% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderngoaigiao9_jpg.rf.e18a53b05ed1ecc918d5abb57481ec94.jpg,warning,small_box,0,box area 0.3444% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi0_jpg.rf.199465a68b3499110463da435463820b.jpg,warning,small_box,0,box area 0.1534% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi102_jpg.rf.48e28b0ac1665f7f250f52ef5101b52f.jpg,warning,small_box,0,box area 0.1317% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi103_jpg.rf.0481f9c357a4fa212730a0ee40fbc185.jpg,warning,small_box,0,box area 0.1712% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi104_jpg.rf.22743c7b62485513d9c3d1403ace50c7.jpg,warning,small_box,0,box area 0.1938% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi105_jpg.rf.a98bd321b443af4571dde5e67e7449a1.jpg,warning,small_box,0,box area 0.0682% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi106_jpg.rf.786c7657956869fa4c974567958346a1.jpg,warning,small_box,0,box area 0.1057% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_cuong_ta\train\images\boderquandoi107_jpg.rf.b3f2425fd75355551cef0bb74242f669.jpg,warning,small_box,0,box area 0.1194% of the image is below the 0.50% threshold; plates this small are hard to learn
