image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\1_jpeg.rf.7c8974a26c9cd647978ff9efbc27e335.jpg,warning,small_box,0,box area 0.3491% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\20170223-102734-1487833180025_jpg.rf.5f0538ef8585d01c9cf9623963e58bcc.jpg,warning,small_box,0,box area 0.3033% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\20170223-102734-1487833180025_webp.rf.36cdbc9078cb2ef9ce58c2e046bd9a97.jpg,warning,small_box,0,box area 0.2730% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\3_jpg.rf.d7cc11d1e05f976c4aa23a883cbd6bd5.jpg,warning,small_box,0,box area 0.1880% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\415142645_741941541326963_3035283034615692076_n_jpg.rf.3c8286189105717787ec9111d3e7f860.jpg,warning,small_box,0,box area 0.2498% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\415168566_741941174660333_2511700198945655877_n_jpg.rf.51fda84a922ab435e09ee1976f491841.jpg,warning,small_box,0,box area 0.4268% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\427997365_263099506829075_3298136953494235752_n_jpg.rf.b0c55e33c80332546c22a68db6fc4f13.jpg,warning,small_box,0,box area 0.1831% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\428598773_263099226829103_5370813740316388830_n_jpg.rf.f5845144c4d95d5f122a25916295f817.jpg,warning,small_box,0,box area 0.3418% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\428614967_263099403495752_451616915103358739_n_jpg.rf.d7f9ac9de5a0882227ebc565f09da583.jpg,warning,small_box,0,box area 0.3076% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\431870527_1878290195964679_1322444909934846383_n_jpg.rf.4862d0b09534e5664cad7b4a7b123a50.jpg,warning,small_box,1,box area 0.0391% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\80blanlanbuynhanh_jpg.rf.300ec8c0e33594a3b58887c4cd699fd2.jpg,warning,small_box,0,box area 0.4033% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6865_jpg.rf.dc77235a4fab05096e889008a117c8ec.jpg,warning,small_box,0,box area 0.3051% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6875_jpg.rf.ce8a75ce6bd019b4abf851c0afb981be.jpg,warning,small_box,0,box area 0.4321% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6878_jpg.rf.aa680bbde81376765c53819d32e5017a.jpg,warning,small_box,0,box area 0.3122% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_demo_tracking\train\images\IMG_6886_jpg.rf.fc50769dbebcf72d58c5a234d3267998.jpg,warning,small_box,1,box area 0.2539% of the image is below the 0.50% threshold; plates this small are hard to learn
