image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderngoaigiao11_jpg.rf.e540b80769203c728e51a6a5e6e25cf2.jpg,warning,small_box,1,box area 0.1400% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderngoaigiao6_jpg.rf.2facb64ab234c666a72c96742300676c.jpg,warning,small_box,0,box area 0.1913% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi12_jpg.rf.86f33494127ef4c5e6bfe84639959d93.jpg,warning,small_box,0,box area 0.2527% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi15_jpg.rf.db9b9cdcf4b55eafb8493dfe6330fdd8.jpg,warning,small_box,0,box area 0.0956% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi16_jpg.rf.35b5a5d042975b51ba1b007c690a9c44.jpg,warning,small_box,0,box area 0.0590% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi23_jpg.rf.0104c79ae76413f0aaf6b90e38df5df2.jpg,warning,small_box,0,box area 0.0936% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi29_jpg.rf.cd6f465484867dc00f65c43f61ca9fe0.jpg,warning,small_box,0,box area 0.1111% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi31_jpg.rf.f7fa5b19d6845110533afef39ad3f53e.jpg,warning,small_box,0,box area 0.2256% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi3_jpg.rf.36ba176361f7917c749c0b1b53e9b69b.jpg,warning,small_box,0,box area 0.0645% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi3_jpg.rf.36ba176361f7917c749c0b1b53e9b69b.jpg,warning,small_box,1,box area 0.0454% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi3_jpg.rf.36ba176361f7917c749c0b1b53e9b69b.jpg,warning,small_box,2,box area 0.0228% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi3_jpg.rf.36ba176361f7917c749c0b1b53e9b69b.jpg,warning,small_box,3,box area 0.0211% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi4_jpg.rf.7a674066ee4ac850d88ff908dcee00d8.jpg,warning,small_box,0,box area 0.0965% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi4_jpg.rf.7a674066ee4ac850d88ff908dcee00d8.jpg,warning,small_box,1,box area 0.0309% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi74_jpg.rf.fd4de84db96549df4cb0c240a2bd3c6b.jpg,warning,small_box,0,box area 0.4812% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi76_jpg.rf.c4c3297b4b823cefc82b27e495e1ad8b.jpg,warning,small_box,0,box area 0.3082% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi79_jpg.rf.70f79b445fbc4598a32e5f745826d4b9.jpg,warning,small_box,0,box area 0.1067% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\boderquandoi98_jpg.rf.496e5009ad4e9ffd7038515224aa9c2f.jpg,warning,small_box,0,box area 0.0867% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi101_jpg.rf.030151beb337cfef57c62446cb88c9ee.jpg,warning,small_box,0,box area 0.2272% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi101_jpg.rf.030151beb337cfef57c62446cb88c9ee.jpg,warning,small_box,1,box area 0.1476% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi101_jpg.rf.030151beb337cfef57c62446cb88c9ee.jpg,warning,small_box,2,box area 0.0898% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi16_jpg.rf.f722590ed2869baf5a414e4b3f5ba00a.jpg,warning,small_box,0,box area 0.2100% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi90_jpg.rf.3127ff8b08a5977e43a034d1ebc8ac00.jpg,warning,small_box,0,box area 0.1172% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_school_fuhih\test\images\brightnessquandoi90_jpg.rf.3127ff8b08a5977e43a034d1ebc8ac00.jpg,warning,small_box,1,box area 0.2725% of the image is below the 0.50% threshold; plates this small are hard to learn
