image,severity,code,box_index,detail
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA5_05820_checkin_2020-10-25-19-32bD4xMlAsnO_jpg.rf.76a8a2277f856b27fbb287f620818317.jpg,warning,empty_label,,"Label file is empty, so this is a background image with no plates. That is valid, but a whole dataset of these means a conversion failed."
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA5_05820_checkin_2020-10-25-19-32bD4xMlAsnO_jpg.rf.78b3f8ff32ba663e2fe1413b8e97ff76.jpg,warning,empty_label,,"Label file is empty, so this is a background image with no plates. That is valid, but a whole dataset of these means a conversion failed."
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA5_05820_checkin_2020-10-25-19-32bD4xMlAsnO_jpg.rf.fa64cb48db4273d7146d6c717b11e2f5.jpg,warning,empty_label,,"Label file is empty, so this is a background image with no plates. That is valid, but a whole dataset of these means a conversion failed."
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA5_80651_checkin_2020-10-29-13-25NcqqbyFPPl_jpg.rf.64d5362dfd4b0c032476b2c53aeda8fc.jpg,error,invalid_box,0,"box extends past the image border: corners (-0.000013, 0.332345) -> (0.845512, 0.492252)"
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_47926_checkin_2020-10-29-10-3ToiFjETDFW_jpg.rf.0b4f85ba22cd0333d2cecf756aaf87bd.jpg,warning,small_box,0,box area 0.3837% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_47926_checkin_2020-10-29-10-3ToiFjETDFW_jpg.rf.69739af717e6acfe62bb6a346dc4128e.jpg,warning,small_box,0,box area 0.3435% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_47926_checkin_2020-10-29-10-3ToiFjETDFW_jpg.rf.b8a31bd9432b8e9b1c73a4d5b229f37c.jpg,warning,small_box,0,box area 0.4148% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_50167_checkout_2020-10-26-9-9YZG7L9o9TD_jpg.rf.a691e607dce8194bdd3c95b54220aee0.jpg,warning,small_box,0,box area 0.3634% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_50167_checkout_2020-10-26-9-9YZG7L9o9TD_jpg.rf.c416b2d69566b0e1d3db57a28e121961.jpg,warning,small_box,0,box area 0.3977% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_50167_checkout_2020-10-26-9-9YZG7L9o9TD_jpg.rf.db0cab53ef12ed5256f75e4c00fd87e1.jpg,warning,small_box,0,box area 0.4572% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_51495_checkin_2020-10-26-11-51Ot57KwfEoY_jpg.rf.1a579bb8d6d6d81e7fd3459aa8d8d0c0.jpg,warning,small_box,0,box area 0.2190% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_51495_checkin_2020-10-26-11-51Ot57KwfEoY_jpg.rf.4f4933d46febf8e3096acf002c0eb0db.jpg,warning,small_box,0,box area 0.2308% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_51495_checkin_2020-10-26-11-51Ot57KwfEoY_jpg.rf.553ff4523f1fa37d0c46ba1466e9b713.jpg,warning,small_box,0,box area 0.2024% of the image is below the 0.50% threshold; plates this small are hard to learn
D:\DATN\datasets\raw\roboflow_traffic_camera\train\images\AQUA7_52456_checkin_2020-10-30-15-10KU769ubdPP_jpg.rf.9a70b5b3705ee650a8fe031fb661380f.jpg,warning,small_box,0,box area 0.4908% of the image is below the 0.50% threshold; plates this small are hard to learn
