distance,image_a,split_a,image_b,split_b
12,roboflow_school_fuhih_008126.jpg,train,roboflow_school_fuhih_008139.jpg,val
12,roboflow_school_fuhih_000641.jpg,val,roboflow_school_fuhih_005352.jpg,test
12,roboflow_traffic_camera_000204.jpg,train,roboflow_traffic_camera_000782.jpg,val
12,roboflow_school_fuhih_008108.jpg,train,roboflow_school_fuhih_005876.jpg,val
12,roboflow_traffic_camera_002318.jpg,train,roboflow_school_fuhih_002036.jpg,val
14,roboflow_school_fuhih_001816.jpg,train,roboflow_school_fuhih_001228.jpg,val
14,roboflow_school_fuhih_001597.jpg,train,roboflow_traffic_camera_002159.jpg,val
14,roboflow_school_fuhih_000041.jpg,val,roboflow_school_fuhih_000100.jpg,test
14,roboflow_school_fuhih_001636.jpg,train,roboflow_school_fuhih_000320.jpg,val
14,hf_vn_plates_segment_002788.png,train,roboflow_traffic_camera_000362.jpg,val
