group_id,image,dataset,group_size,datasets_in_group,is_cross_dataset,action
1,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000009.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,keep
1,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000482.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
1,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003496.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
2,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000011.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,keep
2,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000015.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
2,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000067.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
3,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000017.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
3,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000284.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
3,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000526.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
3,D:\DATN\datasets\processed\merged_v2\images\roboflow_school_fuhih_000105.jpg,roboflow_school_fuhih,4,hf_vn_plates_segment|roboflow_school_fuhih,True,keep
4,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000031.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
4,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003570.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
4,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_003638.png,hf_vn_plates_segment,4,hf_vn_plates_segment|roboflow_school_fuhih,True,remove
4,D:\DATN\datasets\processed\merged_v2\images\roboflow_school_fuhih_002756.jpg,roboflow_school_fuhih,4,hf_vn_plates_segment|roboflow_school_fuhih,True,keep
5,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000037.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,keep
5,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000445.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
5,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000457.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
6,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000040.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,keep
6,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000606.png,hf_vn_plates_segment,2,hf_vn_plates_segment,False,remove
7,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000043.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,keep
7,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000118.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
7,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000288.png,hf_vn_plates_segment,3,hf_vn_plates_segment,False,remove
8,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000049.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,keep
8,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000340.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,remove
8,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000653.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,remove
8,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000671.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,remove
9,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000053.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,keep
9,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000286.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,remove
9,D:\DATN\datasets\processed\merged_v2\images\hf_vn_plates_segment_000546.png,hf_vn_plates_segment,4,hf_vn_plates_segment,False,remove
