error_class,line_count,ground_truth,prediction,substitutions,deleted,inserted,error_positions,confidence,image_path
substitution,2,59N147102,59M147102,N>M,,,2,0.9284,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2234_jpg.rf.7d9adb3f41ee2c261a0afa3336df89f9.jpg
mixed,2,59U109278,5911109278,U>1,,1,2,0.8956,D:/DATN/datasets/raw/roboflow_ocr_plate/valid/images/3xemay1371_jpg.rf.fcaf44ed073b4ae836a62177443dd7e8.jpg
extra_chars,2,59S227831,59S227831J9,,,J9,,0.9183,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay1995_jpg.rf.9b18e20e85b2c9466c7009e10a4cac2d.jpg
mixed,2,59F170424,70A2419P,4>A,59F1,19P,0 1 2 3 6,0.8264,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/4xemay2465_jpg.rf.962f87d746450d34113b1a26fa7eff4b.jpg
substitution,2,63B703323,63B7U3323,0>U,,,4,0.9917,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/8xemay354_jpg.rf.5fde1a6db8886fc033807df27a75f1df.jpg
substitution,2,30E66971,30F66971,E>F,,,2,0.8617,D:/DATN/datasets/raw/roboflow_ocr_conversion/valid/images/2310_--2022-03-09-21-26-02_png.rf.ef96fb92456b0cf77779bc6e535aaed9.jpg
substitution,2,55E121500,59F121500,5>9 E>F,,,1 2,0.9841,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/9xemay1_jpg.rf.823a5b1c82a84604b59933c742f7eb88.jpg
substitution,2,59H121704,59M121704,H>M,,,2,0.9290,D:/DATN/datasets/raw/roboflow_ocr_plate/valid/images/6xemay377_jpg.rf.dcf20cf92684e4b199cadfcf5e263adb.jpg
substitution,2,59U139997,59D139997,U>D,,,2,0.9620,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/6xemay611_jpg.rf.d1f1f3f8d6eb0c56405ec291f29740c9.jpg
mixed,2,77D112938,12938ERU,,77D1,ERU,0 1 2 3,0.7496,D:/DATN/datasets/raw/roboflow_ocr_plate/valid/images/2xemay2308_jpg.rf.f7b218c3a0a0d6d5906d47b55f3478ef.jpg
missing_chars,2,78N25203,5203,,78N2,,0 1 2 3,0.9968,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1269_jpg.rf.425a5a05899044b2206fc4fb340a81e3.jpg
extra_chars,2,59T188808,59T188808J91,,,J91,,0.9471,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay2284_jpg.rf.293a3a4d7972733446c404bf3b59eaff.jpg
missing_chars,2,59U172979,72979,,59U1,,0 1 2 3,0.9998,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay1249_jpg.rf.a40a2f5e3460a2aed59887e291757800.jpg
substitution,2,60B422155,50B422155,6>5,,,0,0.8984,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/3xemay1183_jpg.rf.f2b05db035a1644fe0fe5114c0466d60.jpg
mixed,2,71H15511,5518,1>8,71H1,,0 1 2 3 7,0.9980,D:/DATN/datasets/raw/roboflow_ocr_plate/valid/images/4xemay2369_jpg.rf.ef10368bc40cced77c73a3b170363cd3.jpg
missing_chars,2,59C113183,13183,,59C1,,0 1 2 3,0.9904,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/1xemay482_jpg.rf.915176c43e59f14bf3354f54d1103ecf.jpg
mixed,2,59H167791,H1G7791,6>G,59,,0 1 4,0.9854,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/11xemay679_jpg.rf.0b48382bd4fd97b294352383afb2edef.jpg
mixed,2,55F114927,85F11492765R1,5>8,,65R1,0,0.8440,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/10xemay2052_jpg.rf.f1c4c0db8ad753e055795ecce5679947.jpg
mixed,2,59U170392,5911170392,U>1,,1,2,0.9553,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/2xemay66_jpg.rf.a0d7ad6d4a49894e916e570cb646f9c6.jpg
missing_chars,2,30A21624,21624,,30A,,0 1 2,0.9920,D:/DATN/datasets/raw/roboflow_ocr_conversion/train/images/2395_--2022-03-09-21-50-55_png.rf.a8aa85a288ee0fd60c17204abbb8d5e9.jpg
substitution,2,55P48426,55PL8426,4>L,,,3,0.9940,D:/DATN/datasets/raw/roboflow_ocr_plate/train/images/5xemay1255_jpg.rf.3f808652a220c221a20285536d1c96fe.jpg
