epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.025,1.01237,0.82647,1.01819,0.9694,0.93079,0.97018,0.74908,0.85572,0.58884,0.91716,0.000332502,0.000332502,0.0670823
2,457.444,0.96749,0.62517,0.98432,0.9642,0.94467,0.97601,0.7528,0.88089,0.67339,0.9017,0.000664819,0.000664819,0.0340813
3,697.577,0.95032,0.58141,0.982,0.9667,0.96967,0.98615,0.73598,0.97148,0.50484,0.93048,0.00099308,0.00099308,0.00107621
4,942.713,0.90857,0.5386,0.96476,0.97157,0.96398,0.98415,0.75018,0.94024,0.47564,0.92129,0.000986323,0.000986323,0.000986323
5,1165.59,0.88972,0.5235,0.96451,0.96914,0.97156,0.98888,0.8122,0.71061,0.41825,0.87641,0.000975773,0.000975773,0.000975773
6,1397.29,0.89044,0.51217,0.95656,0.97896,0.96872,0.98848,0.7918,0.76918,0.42282,0.88549,0.00096232,0.00096232,0.00096232
7,1625.68,0.87734,0.4902,0.95619,0.97962,0.97441,0.99211,0.77541,0.85631,0.41162,0.89069,0.000946048,0.000946048,0.000946048
8,1853.95,0.88003,0.48556,0.95176,0.97956,0.96588,0.98932,0.81419,0.72655,0.39511,0.87552,0.000927057,0.000927057,0.000927057
9,2126.16,0.84547,0.46981,0.94321,0.97467,0.96588,0.98858,0.81109,0.73284,0.41673,0.87518,0.000905463,0.000905463,0.000905463
10,2407.27,0.85832,0.47062,0.95246,0.9759,0.97915,0.98978,0.78895,0.79582,0.39341,0.88118,0.000881401,0.000881401,0.000881401
11,2650.32,0.83089,0.46056,0.93753,0.98662,0.96872,0.99256,0.8093,0.72082,0.37026,0.86836,0.000855018,0.000855018,0.000855018
12,2873.34,0.83963,0.44581,0.93622,0.9778,0.97346,0.99283,0.78878,0.81861,0.37599,0.87887,0.000826477,0.000826477,0.000826477
13,3094.67,0.83784,0.44317,0.93751,0.98459,0.96913,0.99197,0.81157,0.74435,0.36761,0.8689,0.000795954,0.000795954,0.000795954
14,3351.87,0.82931,0.4411,0.9352,0.98185,0.97431,0.99271,0.83326,0.67368,0.3461,0.85422,0.000763637,0.000763637,0.000763637
15,3597.58,0.8325,0.43288,0.93103,0.98638,0.97441,0.99223,0.81155,0.74457,0.35576,0.86687,0.000729725,0.000729725,0.000729725
16,3828.87,0.80772,0.41925,0.93436,0.97908,0.976,0.99122,0.82841,0.67593,0.34536,0.85465,0.000694428,0.000694428,0.000694428
17,4076.54,0.79353,0.41131,0.92188,0.98471,0.97681,0.99196,0.81395,0.72001,0.33977,0.86192,0.000657963,0.000657963,0.000657963
18,4334.43,0.78275,0.40332,0.92254,0.98652,0.97251,0.99281,0.82552,0.69665,0.32986,0.85855,0.000620555,0.000620555,0.000620555
19,4590.36,0.7917,0.40575,0.92503,0.98283,0.97652,0.9933,0.82359,0.69224,0.32839,0.85907,0.000582435,0.000582435,0.000582435
20,4864.92,0.79029,0.39643,0.92046,0.9912,0.97346,0.9927,0.80311,0.77414,0.34643,0.86592,0.000543837,0.000543837,0.000543837
21,5115.38,0.78044,0.38815,0.92415,0.98141,0.97346,0.99265,0.82975,0.70104,0.33001,0.86593,0.000505,0.000505,0.000505
22,5339.05,0.76687,0.38239,0.91585,0.98147,0.98199,0.99191,0.8233,0.687,0.31831,0.85432,0.000466163,0.000466163,0.000466163
23,5603.35,0.77227,0.38177,0.9185,0.98757,0.97889,0.99335,0.83022,0.67912,0.30401,0.85223,0.000427565,0.000427565,0.000427565
24,5859.16,0.76678,0.37637,0.91893,0.98942,0.97518,0.99178,0.84523,0.60765,0.29215,0.84347,0.000389445,0.000389445,0.000389445
25,6088.21,0.74888,0.3681,0.90943,0.98659,0.97598,0.9924,0.81512,0.72071,0.31639,0.85573,0.000352037,0.000352037,0.000352037
26,6307.95,0.74573,0.36839,0.91293,0.98303,0.9782,0.99296,0.83612,0.65108,0.30472,0.84429,0.000315572,0.000315572,0.000315572
27,6536.22,0.71966,0.35248,0.90284,0.98184,0.98009,0.99266,0.84058,0.63054,0.28978,0.84491,0.000280275,0.000280275,0.000280275
28,6754.38,0.72157,0.354,0.90398,0.98784,0.97915,0.99293,0.85035,0.60238,0.28101,0.84283,0.000246363,0.000246363,0.000246363
29,6967.25,0.72236,0.34865,0.90744,0.98565,0.97674,0.9929,0.8315,0.67712,0.28963,0.84887,0.000214046,0.000214046,0.000214046
30,7179.54,0.71271,0.34559,0.90471,0.98474,0.97843,0.99313,0.85475,0.5942,0.26984,0.83728,0.000183523,0.000183523,0.000183523
31,7389.65,0.63795,0.29031,0.86808,0.98475,0.97947,0.99314,0.8431,0.6202,0.27868,0.83673,0.000154982,0.000154982,0.000154982
32,7603.52,0.63595,0.28351,0.86366,0.99075,0.97536,0.99286,0.85535,0.58786,0.26993,0.83379,0.000128599,0.000128599,0.000128599
33,7814.07,0.61693,0.27676,0.85784,0.9887,0.9763,0.99324,0.84594,0.59938,0.26454,0.83542,0.000104537,0.000104537,0.000104537
34,8031.4,0.61261,0.27094,0.86015,0.98755,0.97749,0.99358,0.84243,0.62407,0.26651,0.84021,8.29431e-05,8.29431e-05,8.29431e-05
35,8250.84,0.62144,0.27327,0.86093,0.9825,0.98199,0.99355,0.84846,0.59905,0.26066,0.83574,6.39518e-05,6.39518e-05,6.39518e-05
36,8469.45,0.60903,0.26678,0.85285,0.98294,0.97915,0.99341,0.84982,0.59915,0.259,0.83454,4.76796e-05,4.76796e-05,4.76796e-05
37,8684.18,0.60216,0.26279,0.85804,0.98658,0.97545,0.99338,0.85506,0.58364,0.25375,0.83355,3.4227e-05,3.4227e-05,3.4227e-05
