epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2053.19,1.25202,0.83329,1.15431,0.95518,0.94101,0.96841,0.65261,1.17051,0.68577,1.15125,0.000333082,0.000333082,0.0670249
2,4076.71,1.1667,0.66755,1.12515,0.97004,0.94501,0.97262,0.66533,1.18605,0.55538,1.13069,0.000662354,0.000662354,0.0340209
3,6414.46,1.12808,0.61945,1.11053,0.97314,0.94486,0.9723,0.67703,1.16471,0.56509,1.10979,0.000975527,0.000975527,0.0010007
4,8571.56,1.09902,0.5904,1.10149,0.97818,0.94622,0.97398,0.71202,1.03624,0.51558,1.06697,0.000946048,0.000946048,0.000946048
5,10625.2,1.09267,0.5677,1.09492,0.97645,0.95246,0.97539,0.69503,1.10741,0.49773,1.08632,0.000905463,0.000905463,0.000905463
6,12430.5,1.05857,0.53332,1.07764,0.98138,0.94912,0.97336,0.70476,1.04805,0.47192,1.06934,0.000855018,0.000855018,0.000855018
7,14146,1.0401,0.5157,1.07388,0.98043,0.96057,0.97869,0.72764,1.0196,0.44924,1.06216,0.000795954,0.000795954,0.000795954
8,15854.1,1.01084,0.49475,1.06037,0.97977,0.96247,0.9799,0.719,1.07138,0.43929,1.0659,0.000729725,0.000729725,0.000729725
9,17563.1,1.00481,0.48914,1.05889,0.98321,0.96305,0.98082,0.72481,1.03287,0.42283,1.05047,0.000657963,0.000657963,0.000657963
10,19298.4,0.99625,0.4723,1.05601,0.985,0.95837,0.98076,0.72484,1.05479,0.4168,1.0686,0.000582435,0.000582435,0.000582435
11,21024,0.91997,0.40252,1.03811,0.98262,0.96558,0.98196,0.74486,0.97896,0.4006,1.04201,0.000505,0.000505,0.000505
12,22730.1,0.90152,0.38634,1.02861,0.98176,0.96899,0.9854,0.7219,1.06803,0.40508,1.06272,0.000427565,0.000427565,0.000427565
13,24406,0.88562,0.37179,1.02326,0.97883,0.96709,0.98236,0.75202,0.95523,0.38605,1.02844,0.000352037,0.000352037,0.000352037
14,26080.6,0.8694,0.35631,1.01182,0.98451,0.96695,0.98241,0.75597,0.94327,0.36821,1.01933,0.000280275,0.000280275,0.000280275
15,27751.3,0.85579,0.34868,1.00466,0.98456,0.96864,0.98244,0.7609,0.94196,0.36194,1.02045,0.000214046,0.000214046,0.000214046
16,29429.3,0.83867,0.33531,1.00101,0.98416,0.96989,0.98255,0.75843,0.94148,0.35285,1.0183,0.000154982,0.000154982,0.000154982
17,31120.8,0.82804,0.32496,0.99256,0.98407,0.96895,0.98306,0.75719,0.95293,0.3489,1.01945,0.000104537,0.000104537,0.000104537
18,32806.2,0.82274,0.31954,0.98942,0.98485,0.96864,0.98319,0.76054,0.94272,0.34054,1.0185,6.39518e-05,6.39518e-05,6.39518e-05
19,34496.9,0.81369,0.31597,0.9859,0.9858,0.96961,0.98311,0.76006,0.94665,0.33723,1.01798,3.4227e-05,3.4227e-05,3.4227e-05
20,36181.3,0.80879,0.31263,0.98691,0.98455,0.96969,0.98302,0.76883,0.92042,0.33307,1.01049,1.60943e-05,1.60943e-05,1.60943e-05
